id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
huotuicaihua,薄荷,火腿菜花,家常菜 ,http://s2.boohee.cn/food/star/huotuicaihua-6f27c12e64158f300f9cc04918de5384.png,http://s2.boohee.cn/house/upload_food/2016/10/11/big_photo_url_066d0468cd354fd1b1088b8a09cd68a9.jpg,http://s2.boohee.cn/house/upload_food/2016/10/11/mid_photo_url_7e05c317b6274b5b8091a054706807a5.jpg,56,6.50,2.29,3.62,1.30,,,,,,,,,,,,,,,,,,,
roumomuer,薄荷,肉末木耳,家常菜 ,http://s2.boohee.cn/food/star/roumomuer-32586f974a626e400d005967abc3b1a5.png,http://s2.boohee.cn/house/upload_food/2016/10/24/big_photo_url_e75554263c1b40d384e012efcb4166ae.jpg,http://s2.boohee.cn/house/upload_food/2016/10/24/mid_photo_url_3a972869ff374c2fb519c9e466625c3e.jpg,116,10.05,7.26,3.49,1.98,,,,,,,,,,,,,,,,,,,"1盘肉末木耳(350.0克)405大卡,标准(100克)116大卡"
qingchaoyoumaicai,薄荷,清炒油麦菜,家常菜 ,http://s2.boohee.cn/food/star/qingchaoyoumaicai-9f6baea51d6c04ba784d6430852a7320.png,http://s2.boohee.cn/house/upload_food/2020/6/11/big_photo_url_41e837c7a4c8e314dfca247ed3654e79.jpg,http://s2.boohee.cn/house/upload_food/2020/6/11/mid_photo_url_94f39620478d88a4094b25e0e1e57ffc.jpg,44,1.90,3.42,1.42,0.65,,,,,,,,,,,,,,,,,,,"1盘清炒油麦菜(300.0克)131大卡,1碗清炒油麦菜(150.0克)65大卡,标准(100克)44大卡"
chizhizhengjiyu,薄荷,豉汁蒸鲫鱼,家常菜 ,http://s2.boohee.cn/food/star/chizhizhengjiyu-4485c3de41a922b4abbeda0635fe183c.png,http://s2.boohee.cn/house/upload_food/2016/9/18/big_photo_url_ff513eb1f9814d4996b998012649203a.jpg,http://s2.boohee.cn/house/upload_food/2016/9/18/mid_photo_url_68c9c0455a454ab2b209b02836791e48.jpg,157,6.94,8.11,14.65,0.54,,,,,,,,,,,,,,,,,,,
hongshaoqiezifan,用户上传,红烧茄子饭,家常菜 ,http://s2.boohee.cn/food/star/hongshaoqiezifan-4766988d134224268628ee674f72197c.png,http://s2.boohee.cn/house/upload_food/2016/8/30/big_photo_url_cea7d6469a0f43209876411b6e1641db.jpg,http://s2.boohee.cn/house/upload_food/2016/8/30/mid_photo_url_011065190dda4c55a2528785670f109b.jpg,177,13.93,11.06,5.69,0.44,,,,,,,,,,,,,,,,,,,
sixiwanzi2,薄荷,四喜丸子(不含猪肥膘),家常菜 ,http://s2.boohee.cn/food/star/sixiwanzi2-841b9142d079cc23866e74a2e94adc69.png,http://s2.boohee.cn/house/upload_food/2016/10/26/big_photo_url_26a067bce7214eec9bc46d18e4a07220.jpg,http://s2.boohee.cn/house/upload_food/2016/10/26/mid_photo_url_746ae8269ac443fea2935345d50aea2d.jpg,135,3.60,7.20,14.36,0.45,,,,,,,,,,,,,,,,,,,
haidairoupaitang,薄荷,海带瘦肉汤,家常菜 ,http://s2.boohee.cn/food/star/haidairoupaitang-a93fefa4db8e77d3591fa9bec876fcf2.png,http://s2.boohee.cn/house/upload_food/2020/7/8/b_big_photo_url_410771006d356209161644a42bf5941a.jpg,http://s2.boohee.cn/house/upload_food/2020/7/8/m_big_photo_url_410771006d356209161644a42bf5941a.jpg,16,1.27,0.47,1.88,0.34,,,,,,,,,,,,,,,,,,,"1碗海带瘦肉汤(500.0毫升)82大卡,标准(100毫升)16大卡"
banlishaoji,用户上传,板栗烧鸡(清淡),家常菜 ,http://s2.boohee.cn/food/star/banlishaoji-eb59bfb7c66132e399cab2daa03003f4.png,http://s2.boohee.cn/house/upload_food/2009/9/17/341949_1253175862.jpg,http://s2.boohee.cn/house/upload_food/2009/9/17/341949_1253175862mid.jpg,108,12.97,4.02,7.78,2.78,,,,,,,,,,,,,,,,,,,
suanshaonianyu,薄荷,蒜烧鲶鱼,家常菜 ,http://s2.boohee.cn/food/star/suanshaonianyu-6a862c32faf5d636287789020a1b2e62.png,http://s2.boohee.cn/house/food_big/big_photo20128201416352831.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_20128201416352831.jpg,154,3.54,9.10,14.55,0.12,,,,,,,,,,,,,,,,,,,
niurouguotie,用户上传,牛肉锅贴,家常菜 ,http://s2.boohee.cn/food/star/niurouguotie-40fa2429030df131977bf444e88b4c50.png,http://s2.boohee.cn/house/upload_food/2009/8/16/352025_1250389098.jpg,http://s2.boohee.cn/house/upload_food/2009/8/16/352025_1250389098mid.jpg,185,19.11,7.15,11.60,0.54,,,,,,,,,,,,,,,,,,,
